FIXTURE,HOME TEAM,AWAY TEAM,LEAGUE
Arsenal V Liverpool ,Arsenal,Liverpool,EPL
Bournemouth V Man Utd ,Bournemouth,Man Utd,EPL
Burnley V Swansea ,Burnley,Swansea,EPL
Chelsea V West Ham ,Chelsea,West Ham,EPL
Crystal Palace V West Brom ,Crystal Palace,West Brom,EPL
Everton V Tottenham ,Everton,Tottenham,EPL
Hull V Leicester ,Hull,Leicester,EPL
Man City V Sunderland ,Man City,Sunderland,EPL
Middlesbrough V Stoke ,Middlesbrough,Stoke,EPL
Southampton V Watford ,Southampton,Watford,EPL
Leicester V Arsenal ,Leicester,Arsenal,EPL
Liverpool V Burnley ,Liverpool,Burnley,EPL
Man Utd V Southampton ,Man Utd,Southampton,EPL
Stoke V Man City ,Stoke,Man City,EPL
Sunderland V Middlesbrough ,Sunderland,Middlesbrough,EPL
Swansea V Hull ,Swansea,Hull,EPL
Tottenham V Crystal Palace ,Tottenham,Crystal Palace,EPL
Watford V Chelsea ,Watford,Chelsea,EPL
West Brom V Everton ,West Brom,Everton,EPL
West Ham V Bournemouth ,West Ham,Bournemouth,EPL
Chelsea V Burnley ,Chelsea,Burnley,EPL
Crystal Palace V Bournemouth ,Crystal Palace,Bournemouth,EPL
Everton V Stoke ,Everton,Stoke,EPL
Hull V Man Utd ,Hull,Man Utd,EPL
Leicester V Swansea ,Leicester,Swansea,EPL
Man City V West Ham ,Man City,West Ham,EPL
Southampton V Sunderland ,Southampton,Sunderland,EPL
Tottenham V Liverpool ,Tottenham,Liverpool,EPL
Watford V Arsenal ,Watford,Arsenal,EPL
West Brom V Middlesbrough ,West Brom,Middlesbrough,EPL
Arsenal V Southampton ,Arsenal,Southampton,EPL
Bournemouth V West Brom ,Bournemouth,West Brom,EPL
Burnley V Hull ,Burnley,Hull,EPL
Liverpool V Leicester ,Liverpool,Leicester,EPL
Man Utd V Man City ,Man Utd,Man City,EPL
Middlesbrough V Crystal Palace ,Middlesbrough,Crystal Palace,EPL
Stoke V Tottenham ,Stoke,Tottenham,EPL
Sunderland V Everton ,Sunderland,Everton,EPL
Swansea V Chelsea ,Swansea,Chelsea,EPL
West Ham V Watford ,West Ham,Watford,EPL
Chelsea V Liverpool ,Chelsea,Liverpool,EPL
Crystal Palace V Stoke ,Crystal Palace,Stoke,EPL
Everton V Middlesbrough ,Everton,Middlesbrough,EPL
Hull V Arsenal ,Hull,Arsenal,EPL
Leicester V Burnley ,Leicester,Burnley,EPL
Man City V Bournemouth ,Man City,Bournemouth,EPL
Southampton V Swansea ,Southampton,Swansea,EPL
Tottenham V Sunderland ,Tottenham,Sunderland,EPL
Watford V Man Utd ,Watford,Man Utd,EPL
West Brom V West Ham ,West Brom,West Ham,EPL
Arsenal V Chelsea ,Arsenal,Chelsea,EPL
Bournemouth V Everton ,Bournemouth,Everton,EPL
Burnley V Watford ,Burnley,Watford,EPL
Liverpool V Hull ,Liverpool,Hull,EPL
Man Utd V Leicester ,Man Utd,Leicester,EPL
Middlesbrough V Tottenham ,Middlesbrough,Tottenham,EPL
Stoke V West Brom ,Stoke,West Brom,EPL
Sunderland V Crystal Palace ,Sunderland,Crystal Palace,EPL
Swansea V Man City ,Swansea,Man City,EPL
West Ham V Southampton ,West Ham,Southampton,EPL
Burnley V Arsenal ,Burnley,Arsenal,EPL
Everton V Crystal Palace ,Everton,Crystal Palace,EPL
Hull V Chelsea ,Hull,Chelsea,EPL
Leicester V Southampton ,Leicester,Southampton,EPL
Man Utd V Stoke ,Man Utd,Stoke,EPL
Sunderland V West Brom ,Sunderland,West Brom,EPL
Swansea V Liverpool ,Swansea,Liverpool,EPL
Tottenham V Man City ,Tottenham,Man City,EPL
Watford V Bournemouth ,Watford,Bournemouth,EPL
West Ham V Middlesbrough ,West Ham,Middlesbrough,EPL
Arsenal V Swansea ,Arsenal,Swansea,EPL
Bournemouth V Hull ,Bournemouth,Hull,EPL
Chelsea V Leicester ,Chelsea,Leicester,EPL
Crystal Palace V West Ham ,Crystal Palace,West Ham,EPL
Liverpool V Man Utd ,Liverpool,Man Utd,EPL
Man City V Everton ,Man City,Everton,EPL
Middlesbrough V Watford ,Middlesbrough,Watford,EPL
Southampton V Burnley ,Southampton,Burnley,EPL
Stoke V Sunderland ,Stoke,Sunderland,EPL
West Brom V Tottenham ,West Brom,Tottenham,EPL
Arsenal V Middlesbrough ,Arsenal,Middlesbrough,EPL
Bournemouth V Tottenham ,Bournemouth,Tottenham,EPL
Burnley V Everton ,Burnley,Everton,EPL
Chelsea V Man Utd ,Chelsea,Man Utd,EPL
Hull V Stoke ,Hull,Stoke,EPL
Leicester V Crystal Palace ,Leicester,Crystal Palace,EPL
Liverpool V West Brom ,Liverpool,West Brom,EPL
Man City V Southampton ,Man City,Southampton,EPL
Swansea V Watford ,Swansea,Watford,EPL
West Ham V Sunderland ,West Ham,Sunderland,EPL
Crystal Palace V Liverpool ,Crystal Palace,Liverpool,EPL
Everton V West Ham ,Everton,West Ham,EPL
Man Utd V Burnley ,Man Utd,Burnley,EPL
Middlesbrough V Bournemouth ,Middlesbrough,Bournemouth,EPL
Southampton V Chelsea ,Southampton,Chelsea,EPL
Stoke V Swansea ,Stoke,Swansea,EPL
Sunderland V Arsenal ,Sunderland,Arsenal,EPL
Tottenham V Leicester ,Tottenham,Leicester,EPL
Watford V Hull ,Watford,Hull,EPL
West Brom V Man City ,West Brom,Man City,EPL
Arsenal V Tottenham ,Arsenal,Tottenham,EPL
Bournemouth V Sunderland ,Bournemouth,Sunderland,EPL
Burnley V Crystal Palace ,Burnley,Crystal Palace,EPL
Chelsea V Everton ,Chelsea,Everton,EPL
Hull V Southampton ,Hull,Southampton,EPL
Leicester V West Brom ,Leicester,West Brom,EPL
Liverpool V Watford ,Liverpool,Watford,EPL
Man City V Middlesbrough ,Man City,Middlesbrough,EPL
Swansea V Man Utd ,Swansea,Man Utd,EPL
West Ham V Stoke ,West Ham,Stoke,EPL
Crystal Palace V Man City ,Crystal Palace,Man City,EPL
Everton V Swansea ,Everton,Swansea,EPL
Man Utd V Arsenal ,Man Utd,Arsenal,EPL
Middlesbrough V Chelsea ,Middlesbrough,Chelsea,EPL
Southampton V Liverpool ,Southampton,Liverpool,EPL
Stoke V Bournemouth ,Stoke,Bournemouth,EPL
Sunderland V Hull ,Sunderland,Hull,EPL
Tottenham V West Ham ,Tottenham,West Ham,EPL
Watford V Leicester ,Watford,Leicester,EPL
West Brom V Burnley ,West Brom,Burnley,EPL
Arsenal V Bournemouth ,Arsenal,Bournemouth,EPL
Burnley V Man City ,Burnley,Man City,EPL
Chelsea V Tottenham ,Chelsea,Tottenham,EPL
Hull V West Brom ,Hull,West Brom,EPL
Leicester V Middlesbrough ,Leicester,Middlesbrough,EPL
Liverpool V Sunderland ,Liverpool,Sunderland,EPL
Man Utd V West Ham ,Man Utd,West Ham,EPL
